,rank,id,name_x,description,bggrating,avgrating,numvoter,date,Index,name_y,year_published,min_players,max_players,playing_time,age,boardgamecategory,thumbnail
276,277,271055,Dwellings of Eldervale,Battle for control of a new fantasy realm in this worker placement game.,7.149,8.39,2493,2021-08-10,276,Dwellings of Eldervale,2020,1,5,150,14,,https://cf.geekdo-images.com/qJQXn0kvzvHBKWzSQN7vpw__thumb/img/nyFpcKV3cBOVO1pEImnBYLc_BRE=/fit-in/200x150/filters:strip_icc()/pic4742944.jpg
277,278,25292,Merchants & Marauders,Live the life of an influential merchant or a dreaded pirate in the Caribbean.,7.148,7.41,12940,2021-08-10,277,Corsari dei Caraibi,2010,2,4,180,13,,https://cf.geekdo-images.com/RmKYojYHmV8X-ebtNgaz-g__thumb/img/Rd6POAEmJOEtwKB7bSDTKPsL_9k=/fit-in/200x150/filters:strip_icc()/pic738119.jpg
278,279,41114,The Resistance,Assign operatives to missions while avoiding enemy spies.,7.145,7.28,36551,2021-08-10,278,Direniş,2009,5,10,30,13,,https://cf.geekdo-images.com/cAPTkL2BR3snLO71dkH8rw__thumb/img/5lDn1W82rlLXtVG7nPIYR9Orn-4=/fit-in/200x150/filters:strip_icc()/pic2576459.jpg
279,280,5,Acquire,"Invest, divest, and stage hostile takeovers in this classic real estate game.",7.144,7.34,18422,2021-08-10,279,Acquire,1964,2,6,90,12,,https://cf.geekdo-images.com/3C--kJRhi6kTPHsr9dNaWw__thumb/img/EQqszaHS3n6XplVVGQfTZtGc8fE=/fit-in/200x150/filters:strip_icc()/pic3299296.jpg
280,281,143693,Glass Road,"Clear the land, hire specialists, build and gather to make your own trade empire.",7.144,7.44,9212,2021-08-10,280,Glass Road,2013,1,4,80,13,,https://cf.geekdo-images.com/qJCgEh5Icl7Ed1z2F56yxg__thumb/img/yGVr4jO888pg1GmCnukXbubTZmM=/fit-in/200x150/filters:strip_icc()/pic5895433.jpg
281,282,176920,Mission: Red Planet (Second Edition),"Launch your rockets, sabotage the competition as you vie to control Mars.",7.144,7.45,9234,2021-08-10,281,Aufbruch zum Roten Planeten,2015,2,6,90,14,,https://cf.geekdo-images.com/qMUyGstRWieYOyTVA1vsNQ__thumb/img/DAoKCAePfujueMVYiwWmGDJPZgk=/fit-in/200x150/filters:strip_icc()/pic2499748.jpg
282,283,37046,Ghost Stories,Warrior monks work together to save the village from the evil Wu-Feng and his ghosts.,7.144,7.32,19699,2021-08-10,282,Ghost Stories,2008,1,4,60,12,,https://cf.geekdo-images.com/Mfoj66t524ZS5DKMZJlUYQ__thumb/img/gU9MeF5k_g-Go3GXqh3GPsucsRY=/fit-in/200x150/filters:strip_icc()/pic1790243.jpg
283,284,163745,Star Wars: Armada,"Form your fleet, plan a strategy, and execute it with your commands.",7.141,7.85,4731,2021-08-10,283,Star Wars: Armada,2015,2,2,120,14,,https://cf.geekdo-images.com/oKBz9HmfYDsgDgpy06LPoQ__thumb/img/Zf53Rbb6CFBizk_2iLyhYGEE8QQ=/fit-in/200x150/filters:strip_icc()/pic2355171.jpg
284,285,39856,Dixit,Give the perfect clue so most (not all) players guess the right surreal image card.,7.141,7.25,52461,2021-08-10,284,Dixit,2008,3,6,30,8,,https://cf.geekdo-images.com/uSgzS-SClISqDkYRCdUq6g__thumb/img/iLgQV17c4xezI4ZeN_hmue_jh40=/fit-in/200x150/filters:strip_icc()/pic3483909.jpg
285,286,129622,Love Letter,Can you get a letter to the princess or remove all your rivals? You win either way!,7.14,7.23,57677,2021-08-10,285,Letters to Santa,2012,2,4,20,10,,https://cf.geekdo-images.com/T1ltXwapFUtghS9A7_tf4g__thumb/img/GtNX7gCmGpw39Tr6JApWC3Aga5U=/fit-in/200x150/filters:strip_icc()/pic1401448.jpg
286,287,21241,Neuroshima Hex! 3.0,"Battle robots, gangs, and more in tactical post-apocalyptic warfare.",7.138,7.4,13538,2021-08-10,286,Neuroshima Hex!,2006,1,4,30,13,,https://cf.geekdo-images.com/8KB-cVXjNmYA6xuw-lo6eg__thumb/img/zjrFK62DgQIbaYI_BkJdd1X_xi8=/fit-in/200x150/filters:strip_icc()/pic1844819.jpg
287,288,70919,Takenoko,Carefully cultivate a bamboo garden with the help of a gardener and a hungry panda.,7.138,7.27,36554,2021-08-10,287,Takenoko,2011,2,4,45,8,,https://cf.geekdo-images.com/uvz-5V6A2R6dp2oWIXmj_g__thumb/img/vz9Ec1xB2b4JJQlZFijUsuCvfkQ=/fit-in/200x150/filters:strip_icc()/pic1912529.jpg
288,289,235802,Too Many Bones: Undertow,Songstress Stanza & stealthy Duster board a raft & chuck gobs of dice on the Sibron.,7.138,8.77,1852,2021-08-10,288,Too Many Bones: Undertow,2018,1,2,180,12,,https://cf.geekdo-images.com/AGN1PRSFmhdUyoTjd-qw8A__thumb/img/URQtgQ1R2OlxDZ4FjxEi33KodYg=/fit-in/200x150/filters:strip_icc()/pic3752850.jpg
289,290,2653,Survive: Escape from Atlantis!,"Sharks, whales, and sea monsters, oh my! Hurry and escape before Atlantis disappears!",7.136,7.31,21313,2021-08-10,289,Atlantis,1982,2,4,60,8,,https://cf.geekdo-images.com/0M2ck50-GanxBWfOHUZ64A__thumb/img/6ffKBS6bTCKgCmH7zdHJIxcU8ZA=/fit-in/200x150/filters:strip_icc()/pic1300182.png
290,291,119890,Agricola: All Creatures Big and Small,Breed animals and expand your small farm in this two player version of the original.,7.1339999999999995,7.37,12526,2021-08-10,290,Agricola: 2 Spelers,2012,2,2,30,13,,https://cf.geekdo-images.com/iaxdcb_l3F8McwzyoiiCig__thumb/img/UWsWeuOQpGv5asAoyrKgwL3pVj0=/fit-in/200x150/filters:strip_icc()/pic1514252.jpg
291,292,317985,Beyond the Sun,Collectively develop a tech tree to fuel the automation and colonization of space.,7.131,8.03,3050,2021-08-10,291,Beyond the Sun,2020,2,4,120,14,,https://cf.geekdo-images.com/BfEHqHQAvZLbRX7y7e9TWg__thumb/img/6rZLxebQyTXasbAPddxpdE1LVls=/fit-in/200x150/filters:strip_icc()/pic5617866.jpg
292,293,17392,Here I Stand,Europe in conflict during the Protestant Reformation of the early 16th century.,7.127999999999999,7.91,3620,2021-08-10,292,Here I Stand,2006,2,6,360,12,,https://cf.geekdo-images.com/SaJz1vt6j4njvkhDaplSHA__thumb/img/F8ii_yYy1gy3M5vQmq1SexxTM88=/fit-in/200x150/filters:strip_icc()/pic353047.jpg
293,294,182134,Evolution: Climate,"Adapt your species in an ecosystem of scarce food, predators, and a dynamic climate!",7.127000000000001,7.61,6368,2021-08-10,293,Evolution: Climat,2016,2,6,60,12,,https://cf.geekdo-images.com/hs1P4qPgDKHXct3qs4JWGg__thumb/img/WUTqvVmA5QUW5KJ9wVF4FdnziI0=/fit-in/200x150/filters:strip_icc()/pic2876816.jpg
294,295,234487,Altiplano,Bag building in the highlands of Peru.,7.125,7.53,7296,2021-08-10,294,Altiplano,2017,2,5,120,12,,https://cf.geekdo-images.com/hgUDu_oG0uhnOWX4WM2vXA__thumb/img/KlzN2TK2WVHgCimiLG_aoEZXVQA=/fit-in/200x150/filters:strip_icc()/pic4070329.jpg
295,296,199042,Harry Potter: Hogwarts Battle,Defend iconic locations with your friends against You-Know-Who and his cronies.,7.124,7.45,13041,2021-08-10,295,Harry Potter: Boj o Bradavice,2016,2,4,60,11,,https://cf.geekdo-images.com/ugYBvYxyWyx8_BqaFKZlGw__thumb/img/dMUeyEvlaSp_x0EoQBuCHfwFCtM=/fit-in/200x150/filters:strip_icc()/pic3518231.jpg
296,297,219513,Bärenpark,Build a bear park on personal boards by carefully placing polyominoes.,7.124,7.36,12935,2021-08-10,296,Bärenpark,2017,2,4,45,8,,https://cf.geekdo-images.com/9JC16l1EMwmJkpbjaUBkpw__thumb/img/MbjH6nLmJQ5IjCgeULOjMfOf-NA=/fit-in/200x150/filters:strip_icc()/pic3486218.jpg
297,298,192458,51st State: Master Set,Lead your gang to take over the last rubble of the world!,7.12,7.66,5436,2021-08-10,297,51 Штат: Полный Набор,2016,1,4,90,14,,https://cf.geekdo-images.com/oaDIooAl30NgVUWeIpC1sg__thumb/img/bWWziWTy6KflOseb2tYLNC0PrfQ=/fit-in/200x150/filters:strip_icc()/pic2945432.jpg
298,299,8217,San Juan,Cards have multiple potential uses -- choose wisely to build the city.,7.112,7.25,22499,2021-08-10,298,Puerto Rico Het Kaartspel,2004,2,4,60,10,,https://cf.geekdo-images.com/kiD03bslLpN_0Qe1LJ8OGg__thumb/img/VD6xhahkv4SR87FYOoQS9rKOpvo=/fit-in/200x150/filters:strip_icc()/pic174174.jpg
299,300,1,Die Macher,Players represent political parties attempting to gain power in Germany.,7.111000000000001,7.62,5283,2021-08-10,299,Die Macher,1986,3,5,240,14,,https://cf.geekdo-images.com/rpwCZAjYLD940NWwP3SRoA__thumb/img/YT6svCVsWqLrDitcMEtyazVktbQ=/fit-in/200x150/filters:strip_icc()/pic4718279.jpg
300,301,25554,Notre Dame,Improve the area around Notre Dame Cathedral to earn prestige for your family.,7.111000000000001,7.34,12394,2021-08-10,300,Notre Dame,2007,2,5,75,10,,https://cf.geekdo-images.com/d1g8Yh14XHf63H3VOC93AA__thumb/img/DwCJeQSpNHs_cX8FfWwNlKqDRSQ=/fit-in/200x150/filters:strip_icc()/pic199316.jpg
301,302,257499,Arkham Horror (Third Edition),Piece the clues together to stop the horrors before your sanity shatters.,7.111000000000001,7.77,5575,2021-08-10,301,Arkham Horror (3. edice),2018,1,6,180,14,,https://cf.geekdo-images.com/ex8DrGtCifqEpkSd2d9ReQ__thumb/img/a9cLg3IglGjWr0xGrRA-yHUh7Zo=/fit-in/200x150/filters:strip_icc()/pic4582151.jpg
302,303,172,For Sale,"What's your bid? Bid on promising property bundles, then sell properties for checks.",7.105,7.22,24731,2021-08-10,302,EladLak!,1997,3,6,30,10,,https://cf.geekdo-images.com/dJh9HkZC346NgPTAicJq_A__thumb/img/3cgW5aP-JJeKSpZMjA0NFheMnfY=/fit-in/200x150/filters:strip_icc()/pic1513085.jpg
303,304,184921,Bunny Kingdom,"Adorable bunnies build cities, harvest carrots, and go on missions to be ""Big Ears!""",7.103,7.46,8286,2021-08-10,303,Bunny Kingdom,2017,2,4,60,12,,https://cf.geekdo-images.com/Noz8-u1ba828WUv69pTXKg__thumb/img/17lnz18gnbQGnnTY8o07X2kxwbs=/fit-in/200x150/filters:strip_icc()/pic3613444.jpg
304,305,39683,At the Gates of Loyang,Harvest crops and fulfill orders to become the most prosperous merchant.,7.102,7.38,9991,2021-08-10,304,A las Puertas de Loyang,2009,1,4,120,10,,https://cf.geekdo-images.com/xnC5RT14H1CgAueR7VTPzw__thumb/img/xO8aUHS7cZPMJRg6gFXlP6LgZbw=/fit-in/200x150/filters:strip_icc()/pic3601060.jpg
305,306,306735,Under Falling Skies,You alone command the forces of a city holding off invading aliens.,7.102,8.01,3070,2021-08-10,305,Cielos de Metal,2020,1,1,40,12,,https://cf.geekdo-images.com/ecO5eAd3RkctQ0-Tbqv37Q__thumb/img/uxrJLWxvi-f8CGbDpxQBStzvGes=/fit-in/200x150/filters:strip_icc()/pic5428723.jpg
306,307,24480,The Pillars of the Earth,"Produce, craft, and recruit to build a cathedral in this classic worker placement.",7.1,7.29,16580,2021-08-10,306,Filary Ziemi,2006,2,4,120,12,,https://cf.geekdo-images.com/J897fuu-nl83_o90uOakVQ__thumb/img/s18kO6_0qCpGwK6IQZ9UhyJFjL8=/fit-in/200x150/filters:strip_icc()/pic3691155.jpg
307,308,33160,Endeavor,"Spread your glory over the vast, as of yet unexplored world.",7.099,7.4,9136,2021-08-10,307,Endeavor,2009,3,5,90,12,,https://cf.geekdo-images.com/595ae0scpXIHHVHSc4xfwQ__thumb/img/juQPKjimski28am3hhiCvvLMwvU=/fit-in/200x150/filters:strip_icc()/pic379881.jpg
308,309,90137,Blood Bowl: Team Manager – The Card Game,Coach your “fantasy” football team and gather most fans to win.,7.099,7.38,10499,2021-08-10,308,Blood Bowl: Menedżer Drużyny – Gra Karciana,2011,2,4,120,14,,https://cf.geekdo-images.com/45THq8eYHMqv3wEfckUVmQ__thumb/img/e5u99K5CrwckRe_CYm5A7W1FhsI=/fit-in/200x150/filters:strip_icc()/pic1222746.jpg
309,310,186751,Mythic Battles: Pantheon,Gather your team from the vast Greek pantheon and fight to the death!,7.098,8.45,2667,2021-08-10,309,Mythic Battles: Pantheon,2017,2,4,90,14,,https://cf.geekdo-images.com/au7lklR-A_0nnTskm4Vohw__thumb/img/MPylcXlXo-YF-rsanQIy9DaaGcs=/fit-in/200x150/filters:strip_icc()/pic3235453.jpg
310,311,31594,In the Year of the Dragon,Choose and manage your workers to protect your palaces from a series of disasters.,7.096,7.34,10965,2021-08-10,310,L'Année du Dragon,2007,2,5,100,12,,https://cf.geekdo-images.com/4X3HUNl0WsJnTcJYi7bu9Q__thumb/img/VoGvu2BX5IyMRXZMRywYKuYqEaw=/fit-in/200x150/filters:strip_icc()/pic285822.jpg
311,312,144592,Bruxelles 1893,Manage your workers to help usher in a new era of culture and progress in Brussels.,7.095,7.65,4839,2021-08-10,311,Bruxelles 1893,2013,2,5,125,13,,https://cf.geekdo-images.com/sDga04VbcuQdapSSJme-Tg__thumb/img/SUmDJc11Sw3bvV1r5q_mF1IfJjU=/fit-in/200x150/filters:strip_icc()/pic1726346.jpg
312,313,9217,Saint Petersburg,Invest in infrastructure and manage cash wisely to attract nobility to the city.,7.093,7.29,14791,2021-08-10,312,Saint Petersburg,2004,2,4,60,10,,https://cf.geekdo-images.com/Yoidfpvt2eACASYUpbmsyg__thumb/img/oN0BjMknoiCwD-o5qeSCOxVPKF0=/fit-in/200x150/filters:strip_icc()/pic246360.jpg
313,314,250458,Gùgōng,"Exchange gifts, send servants, and visit the Emperor in a luscious 1570 China.",7.093,7.52,6584,2021-08-10,313,Gùgōng,2018,1,5,90,12,,https://cf.geekdo-images.com/HJ263_vhLJ58QUWPvMVbEg__thumb/img/uRX0KCJmdwWZiL8Z7fo4V-mwm_E=/fit-in/200x150/filters:strip_icc()/pic4143114.jpg
314,315,204305,Sherlock Holmes Consulting Detective: Jack the Ripper & West End Adventures,"Help Sherlock Holmes investigate the notorious serial killer, Jack the Ripper.",7.093,7.74,4427,2021-08-10,314,Sherlock Holmes Consulente Investigativo: Jack lo Squartatore & Avventure nel West End,2016,1,8,120,10,,https://cf.geekdo-images.com/o3B4ld2Nz9e7wQuRhxJBDw__thumb/img/bYTNTaCtTbEBVmjcyMcyekgIFio=/fit-in/200x150/filters:strip_icc()/pic3238299.jpg
315,316,36932,Claustrophobia,Fight for glory and redemption against endless waves of Hell's minions.,7.087999999999999,7.52,6721,2021-08-10,315,Claustrophobia,2009,2,2,45,14,,https://cf.geekdo-images.com/OUNLwXPLWGBgqlooTuADeQ__thumb/img/_HYYNg_j_lEywSiF2PJEIS2_5WU=/fit-in/200x150/filters:strip_icc()/pic570518.jpg
316,317,246192,Gizmos,Gather energy marbles to build gizmos parts and trigger chain reactions and combos.,7.087000000000001,7.44,8009,2021-08-10,316,Gizmos,2018,2,4,50,14,,https://cf.geekdo-images.com/zin82Hg4MXck86t8fzbsdA__thumb/img/e-UqOrMfsLCh2T_igK3wkoFrOu8=/fit-in/200x150/filters:strip_icc()/pic4169718.png
317,318,21348,Ticket to Ride: Märklin,Build railroad routes across Germany to try to connect valuable destinations.,7.086,7.41,8769,2021-08-10,317,Les Aventuriers du Rail: Édition Märklin,2006,2,5,60,8,,https://cf.geekdo-images.com/hmjtcaumdyjW_Ncj1duAdw__thumb/img/94pMbGixwPxQamFIUyhhSydS9RY=/fit-in/200x150/filters:strip_icc()/pic162026.jpg
318,319,265736,Tiny Towns,Plan well as you build your town one building at a time. Will it fit?,7.085,7.34,11640,2021-08-10,318,Městečka na dlani,2019,1,6,60,14,,https://cf.geekdo-images.com/aE1EoOzr530gQin8bj8QDA__thumb/img/AI-Ro3wLJtpyZLmCMNywOlpz0S8=/fit-in/200x150/filters:strip_icc()/pic4460401.jpg
319,320,40765,Clash of Cultures,Lead your civilization from a single settlement to a mighty empire.,7.084,7.61,5265,2021-08-10,319,Clash of Cultures,2012,2,4,240,14,,https://cf.geekdo-images.com/XHTMyEGDsNHLKXkbGDKaKA__thumb/img/mf5yep4EN9ZQP5hId2GsPB9zduo=/fit-in/200x150/filters:strip_icc()/pic1351042.jpg
320,321,50,Lost Cities,"Set out on expeditions, but will your findings outweigh the cost of each adventure?",7.082999999999999,7.18,38309,2021-08-10,320,Les Cités Perdues,1999,2,2,30,10,,https://cf.geekdo-images.com/AL5D-dXabY-Lk3PqIFk_0g__thumb/img/Q-76aN92M3OveMp26t7b0i7V-i4=/fit-in/200x150/filters:strip_icc()/pic4597095.jpg
321,322,70323,King of Tokyo,It's a fight to the death when giant monsters battle over Tokyo in this dice-roller.,7.082999999999999,7.18,59121,2021-08-10,321,King of Tokyo,2011,2,6,30,8,,https://cf.geekdo-images.com/m_RzXpHURC0_xLkvRSR_sw__thumb/img/OfgWmkGJj5BgOO0zFHEtP5CHfbU=/fit-in/200x150/filters:strip_icc()/pic3043734.jpg
322,323,256226,Azul: Stained Glass of Sintra,Create beautiful windows with coloured glass more efficiently than anyone else.,7.082000000000001,7.4,9493,2021-08-10,322,Azul: De ramen van Sintra / Les vitraux de Sintra,2018,2,4,45,8,,https://cf.geekdo-images.com/RrYR1xB8H7D1B5GwNV8jgQ__thumb/img/vUGmS3mniayuyVOG-1ulrVGnjSg=/fit-in/200x150/filters:strip_icc()/pic4212417.jpg
323,324,154809,Nippon,Build an Industrial empire out of a small Business in Japan's Meiji Period.,7.081,7.69,4327,2021-08-10,323,Nippon,2015,2,4,120,12,,https://cf.geekdo-images.com/DVJamHS1e24-scuM8aRH8g__thumb/img/GfDVi8Cdml30yla1ui0y3exXG7g=/fit-in/200x150/filters:strip_icc()/pic2683981.jpg
324,325,170771,Sword & Sorcery,Heroes are resurrected to face dark forces and ancient evil assaulting Talon Coast.,7.081,8.01,3893,2021-08-10,324,Sword & Sorcery,2017,1,5,90,12,,https://cf.geekdo-images.com/FNVnu-vB8WjyQTf63Ssvig__thumb/img/byFYJhsrFZ3Z5rd0Ef72GxmYoqM=/fit-in/200x150/filters:strip_icc()/pic2673763.jpg
325,326,71,Civilization,Expand and develop your historical empire while trading with competing civilizations.,7.079,7.5,7159,2021-08-10,325,Civilisation,1980,2,7,360,12,,https://cf.geekdo-images.com/YnRVKSq3NrLKVGPNzcYvqg__thumb/img/CUSJ06HO4-802yb7VSq_MgpOSpE=/fit-in/200x150/filters:strip_icc()/pic374847.jpg
326,327,121,Dune,"Use unique strengths, treachery, and cunning to gain control of the Spice.",7.079,7.62,5553,2021-08-10,326,Dune,1979,2,6,180,12,,https://cf.geekdo-images.com/BU8s0uY97Hle4mqUOj8f1g__thumb/img/xo_y6l4KldOtdTYUyXWO1yn4c0M=/fit-in/200x150/filters:strip_icc()/pic279251.jpg
327,328,274637,"Unmatched: Battle of Legends, Volume One",Heroes and villains of legend (and their sidekicks) fight to the death.,7.077000000000001,8.01,3292,2021-08-10,327,"Unmatched: Battle of Legends, Volume One",2019,2,4,40,9,,https://cf.geekdo-images.com/4AlLbprNustr9G7pbkGRuw__thumb/img/nVkIL7RgCkFpBuxbJ3BfOxIJscU=/fit-in/200x150/filters:strip_icc()/pic4621579.jpg
328,329,54625,Space Hulk (Third Edition),Space Marines combat Genestealers in the cramped corridors of a derelict spaceship.,7.074,7.53,6770,2021-08-10,328,Space Hulk (Third Edition),2009,2,2,60,12,,https://cf.geekdo-images.com/NHSPRWkXg2ev13Za0XTdXA__thumb/img/ysIPxqG645flwhhuffXs65SyMLI=/fit-in/200x150/filters:strip_icc()/pic588817.jpg
329,330,166669,San Juan (Second Edition),"As you build up San Juan, carefully choose how to use the multi-use cards you have.",7.074,7.5,6106,2021-08-10,329,Puerto Rico: Das Kartenspiel,2014,2,4,60,10,,https://cf.geekdo-images.com/Upw8067nG8AmGvOfLYs1aQ__thumb/img/3A0PXSduuqW0rejjc1tDegRxEG8=/fit-in/200x150/filters:strip_icc()/pic2305703.jpg
330,331,243,Advanced Squad Leader,Play through historical scenarios in this exhaustive squad-level WWII game system.,7.072,7.99,3534,2021-08-10,330,Advanced Squad Leader,1985,2,2,480,14,,https://cf.geekdo-images.com/RaYWgwcNIv7cSnlkioz62g__thumb/img/4EAhVr_O_i4qY2hqqbCOLwGxMQg=/fit-in/200x150/filters:strip_icc()/pic771969.jpg
331,332,198773,Codenames: Pictures,"Give your team one-word coded clues, trying to identify specific image cards.",7.072,7.25,17792,2021-08-10,331,Codenames: Images,2016,2,8,15,10,,https://cf.geekdo-images.com/Q2u-Nk68Wb1iLjxh_dfsIg__thumb/img/6-1EOESE196KVKw4xOJ5rge56j0=/fit-in/200x150/filters:strip_icc()/pic3476592.jpg
332,333,293014,Nidavellir,Assemble and prepare a formidable crew of dwarfs to fight the mighty Fafnir!,7.071000000000001,7.76,3929,2021-08-10,332,De Dwergen van Nidavellir,2020,2,5,45,10,,https://cf.geekdo-images.com/PX7t5xXDLI2XqxoTShLayg__thumb/img/jV7kN2k9IkGKLhus2FJ5_VP9awc=/fit-in/200x150/filters:strip_icc()/pic5039625.jpg
333,334,63888,Innovation,Guide your civilization with inventions from the stone age through to the modern era.,7.069,7.26,15324,2021-08-10,333,Innovation,2010,2,4,60,12,,https://cf.geekdo-images.com/YBE-vyyYRANWO2NXSQQghg__thumb/img/GmRDNEKangi2w4daNGHCQiH5h_I=/fit-in/200x150/filters:strip_icc()/pic2966859.png
334,335,255984,Sleeping Gods,"Voyages of the steamship ""Manticore"" and her crew on the Wandering Sea.",7.068,8.64,1835,2021-08-10,334,Schlafende Götter,2021,1,4,1200,13,,https://cf.geekdo-images.com/Zdt8l4oTBpFICsMyNof7Jg__thumb/img/71w4Tt3xOnuDEDTCG8ni63QUhVE=/fit-in/200x150/filters:strip_icc()/pic5975244.png
335,336,124708,Mice and Mystics,"After being turned into mice, a prince and his allies experience giant-sized stories.",7.067,7.3,17209,2021-08-10,335,Egerek és Varázslók,2012,1,4,90,7,,https://cf.geekdo-images.com/pZFrbWXBzrkxqOotg05D9Q__thumb/img/nrgg_ID3yq1r5dZ6iWe4de3GW6E=/fit-in/200x150/filters:strip_icc()/pic1312072.jpg
336,337,156546,Monikers,This curated version of a classic game is guaranteed to create laughs!,7.065,7.79,3699,2021-08-10,336,Monikers,2015,4,16,60,17,,https://cf.geekdo-images.com/XkqHVYKA77UnGKapcviqzw__thumb/img/je7rKRJbhjdX72O74NAQYaU9Npg=/fit-in/200x150/filters:strip_icc()/pic6257756.png
337,338,197376,Charterstone,Witness your city flourish and the board change forever as you play.,7.064,7.35,12255,2021-08-10,337,Charterstone,2017,1,6,75,14,,https://cf.geekdo-images.com/yKjDaHQiv28iqtzDxfQOZQ__thumb/img/y0YNU2Bf4W6rNQUXVhhe4tWnU8E=/fit-in/200x150/filters:strip_icc()/pic3322613.jpg
338,339,234277,Nusfjord,"Use your three workers to clear trees, build a harbor, and fish in northern Norway.",7.063,7.64,4542,2021-08-10,338,Nusfjord,2017,1,5,100,12,,https://cf.geekdo-images.com/nKYqNPEE94Zk_q5Vtk527w__thumb/img/b380XF_C0n--whN9elUn8jI__Yg=/fit-in/200x150/filters:strip_icc()/pic3729070.jpg
339,340,195539,The Godfather: Corleone's Empire,Reach the top of the cut-throat mob world...all others sleep with the fishes.,7.062,7.55,6018,2021-08-10,339,The Godfather: Corleone's Empire,2017,2,5,90,14,,https://cf.geekdo-images.com/umGE4fOLYylHloIvw5bitA__thumb/img/Tr9FzWg8Iv76KjnTlZirhAdAfbI=/fit-in/200x150/filters:strip_icc()/pic3364797.jpg
340,341,318977,MicroMacro: Crime City,Find the small traces to solve the big cases.,7.062,7.84,3433,2021-08-10,340,MicroMacro: A Cidade do Crime,2020,1,4,45,12,,https://cf.geekdo-images.com/1M-1d6fr3U9t670MCVOTeg__thumb/img/aR9LNVhRr_hnIIoYwxFUTb8rPMk=/fit-in/200x150/filters:strip_icc()/pic5896816.jpg
341,342,231733,Obsession,"Renovate an estate, manage servants, and pursue romance in Victorian England.",7.062,8.28,2344,2021-08-10,341,Obsession,2018,1,4,90,14,,https://cf.geekdo-images.com/sy89BiuZXfbSnG7Cag9tBQ__thumb/img/eTnMwfCC2jCGDPXC08SIaMXNOTM=/fit-in/200x150/filters:strip_icc()/pic5902073.png
342,343,223040,Fantasy Realms,Build the greatest fantasy kingdom by constructing the best hand.,7.061,7.52,5914,2021-08-10,342,Fantastische Reiche,2017,2,6,20,14,,https://cf.geekdo-images.com/A7IOpPt-lHrMYsbRmxXWdQ__thumb/img/XoD3fXgApfY7-dfYyFeE6FVkbfY=/fit-in/200x150/filters:strip_icc()/pic6177962.jpg
343,344,15987,Arkham Horror,Work as a team to save the town of Arkham from monsters and a Great Old One.,7.06,7.25,37152,2021-08-10,343,Arkham Horror,2005,1,8,240,14,,https://cf.geekdo-images.com/9cJf4kd_HZQo6NunfJlo9w__thumb/img/6VzhMMmGOxNTCHQ-8iFdn5vINis=/fit-in/200x150/filters:strip_icc()/pic175966.jpg
344,345,236191,London (Second Edition),"Draft cards, avoid debt, and run your industrial engine to rebuild London.",7.06,7.6,4881,2021-08-10,344,London  伦敦,2017,2,4,90,14,,https://cf.geekdo-images.com/TMbEUs1GZpO96P5ubsqQew__thumb/img/7OZKGV67TxGK9cL5Kv7Kh2PbHFE=/fit-in/200x150/filters:strip_icc()/pic3693999.jpg
345,346,194594,Dice Forge,Control luck itself! Choose to forge improved dice or complete quests for rewards.,7.059,7.28,15872,2021-08-10,345,Dice Forge,2017,2,4,45,10,,https://cf.geekdo-images.com/4BTVGQWO0M9ayxyku3FW6Q__thumb/img/BWNtptZ90Cutx39I3Celuvirt78=/fit-in/200x150/filters:strip_icc()/pic3477004.jpg
346,347,63628,The Manhattan Project,Help your nation gain the best arsenal of atomic bombs.,7.059,7.35,9213,2021-08-10,346,The Manhattan Project,2012,2,5,120,13,,https://cf.geekdo-images.com/IFtZcDUsLDHpHpslQ-8Q8Q__thumb/img/fUVcaL3kLx-JXcjK4z4KnbABuLo=/fit-in/200x150/filters:strip_icc()/pic1222522.jpg
347,348,55670,Macao,"Deliver goods, build the city and your tableau using a unique dice selection method.",7.059,7.42,7024,2021-08-10,347,Macao,2009,2,4,100,12,,https://cf.geekdo-images.com/jLpm4EaABRAIN7F1Uakfaw__thumb/img/_DEcXV8qc02wb7cj20YIVtjDG1w=/fit-in/200x150/filters:strip_icc()/pic665651.jpg
348,349,260605,Camel Up (Second Edition),Place your bets and bend the odds in this crazy camel-stacking race!,7.059,7.65,4679,2021-08-10,348,Camel Up (Second Edition),2018,3,8,45,8,,https://cf.geekdo-images.com/pRZrHJNoPQ3gay9EkpuZLw__thumb/img/e3Kn0hIHVIvWAE9m8IF7icNxw4s=/fit-in/200x150/filters:strip_icc()/pic4304741.jpg
349,350,245934,Carpe Diem,"Build villas and lands to produce gold, bread and goods in ancient Rome.",7.057,7.57,5186,2021-08-10,349,Carpe Diem,2018,2,4,75,10,,https://cf.geekdo-images.com/fsjopscDFCVArzU7fzhVxA__thumb/img/6Yu-lVdkDTrICD1y5ZqNmzHZEsc=/fit-in/200x150/filters:strip_icc()/pic6183704.jpg
350,351,230253,Star Realms: Frontiers,"Expand your fleet, explore new frontiers, and impose your authority over your rivals.",7.056,8.01,2953,2021-08-10,350,Star Realms: Frontières,2018,1,4,45,12,,https://cf.geekdo-images.com/-CogwvQ7V19RQH0tE6msFw__thumb/img/mcqeVvpTU9wcnJXkJcVceZv4Z8s=/fit-in/200x150/filters:strip_icc()/pic4171533.png
