id,categories
43015,Territory Building
271324,Card Game
271324,Fantasy
271324,Abstract Strategy
271324,Economic
271324,Negotiation
271324,Political
271324,Abstract Strategy
271324,Medieval
271324,Card Game
271324,Fantasy
271324,Ancient
77423,Abstract Strategy
77423,Abstract Strategy
77423,Ancient
77423,Card Game
77423,Fantasy
77423,Abstract Strategy
77423,Medieval
274364,Card Game
274364,Fantasy
274364,Abstract Strategy
274364,Ancient
274364,Abstract Strategy
274364,Medieval
274364,Civilization
274364,Nautical
274364,Ancient
314040,Abstract Strategy
314040,Medieval
314040,Economic
314040,Negotiation
314040,Political
314040,Ancient
314040,Ancient
54043,Economic
54043,Territory Building
54043,Ancient
54043,Ancient
54043,Abstract Strategy
54043,Medieval
287954,Card Game
287954,Fantasy
287954,Civilization
287954,Fantasy
287954,Abstract Strategy
287954,Exploration
287954,Economic
287954,Territory Building
287954,Ancient
17133,Economic
17133,Negotiation
17133,Political
17133,Abstract Strategy
17133,Economic
17133,Negotiation
17133,Political
17133,Abstract Strategy
17133,Medieval
17133,Abstract Strategy
17133,Medieval
221194,Card Game
221194,Fantasy
221194,Card Game
221194,Fantasy
221194,Economic
221194,Negotiation
221194,Political
221194,Economic
221194,Negotiation
221194,Political
221194,Exploration
221194,Ancient
128882,Economic
128882,Negotiation
128882,Political
128882,Card Game
128882,Fantasy
128882,Civilization
128882,Fantasy
128882,Civilization
128882,Fantasy
128882,Civilization
128882,Fantasy
128882,Card Game
128882,Fantasy
253344,Card Game
253344,Fantasy
253344,Economic
253344,Territory Building
253344,Abstract Strategy
253344,Medieval
253344,Abstract Strategy
253344,Medieval
253344,Ancient
253344,Ancient
155426,Economic
155426,Negotiation
155426,Political
155426,Economic
155426,Territory Building
155426,Economic
155426,Territory Building
155426,Ancient
155426,Card Game
155426,Fantasy
155426,Civilization
155426,Nautical
103343,Economic
103343,Negotiation
103343,Political
103343,Abstract Strategy
103343,Medieval
103343,Abstract Strategy
103343,Medieval
103343,Ancient
103343,Abstract Strategy
103343,Medieval
82222,Civilization
82222,Fantasy
82222,Card Game
82222,Fantasy
82222,Card Game
82222,Fantasy
82222,Card Game
82222,Fantasy
82222,Card Game
82222,Fantasy
10630,Economic
10630,Negotiation
10630,Political
10630,Civilization
10630,Nautical
10630,Abstract Strategy
10630,Medieval
70149,Abstract Strategy
70149,Economic
70149,Negotiation
70149,Political
70149,Ancient
70149,Exploration
220877,Card Game
220877,Fantasy
220877,Card Game
220877,Fantasy
220877,Civilization
220877,Fantasy
220877,Abstract Strategy
220877,Abstract Strategy
188920,Economic
188920,Negotiation
188920,Political
188920,Civilization
188920,Fantasy
188920,Civilization
188920,Fantasy
188920,Exploration
188920,Card Game
188920,Fantasy
217372,Card Game
217372,Fantasy
217372,Economic
217372,Negotiation
217372,Political
217372,Abstract Strategy
217372,Abstract Strategy
217372,Medieval
217372,Abstract Strategy
217372,Card Game
217372,Fantasy
39463,Abstract Strategy
39463,Medieval
39463,Exploration
39463,Ancient
39463,Civilization
39463,Nautical
39463,Abstract Strategy
39463,Medieval
14105,Economic
14105,Negotiation
14105,Political
14105,Ancient
14105,Economic
14105,Negotiation
14105,Political
14105,Economic
14105,Territory Building
199561,Economic
199561,Negotiation
199561,Political
199561,Exploration
199561,Exploration
199561,Economic
199561,Territory Building
199561,Civilization
199561,Nautical
199561,Economic
199561,Negotiation
199561,Political
239188,Card Game
239188,Fantasy
239188,Abstract Strategy
239188,Medieval
239188,Exploration
239188,Economic
239188,Negotiation
239188,Political
239188,Civilization
239188,Fantasy
239188,Civilization
239188,Fantasy
463,Ancient
463,Civilization
463,Nautical
463,Abstract Strategy
463,Medieval
223321,Card Game
223321,Fantasy
223321,Card Game
223321,Fantasy
223321,Abstract Strategy
223321,Medieval
223321,Abstract Strategy
223321,Medieval
223321,Card Game
223321,Fantasy
223321,Economic
223321,Negotiation
223321,Political
254640,Card Game
254640,Fantasy
254640,Economic
254640,Territory Building
254640,Ancient
254640,Civilization
254640,Nautical
254640,Ancient
123260,Economic
123260,Negotiation
123260,Political
123260,Card Game
123260,Fantasy
123260,Abstract Strategy
123260,Medieval
123260,Card Game
123260,Fantasy
123260,Civilization
123260,Nautical
195421,Economic
195421,Negotiation
195421,Political
195421,Exploration
195421,Economic
195421,Territory Building
195421,Ancient
195421,Card Game
195421,Fantasy
195421,Economic
195421,Negotiation
195421,Political
31627,Abstract Strategy
31627,Medieval
31627,Economic
31627,Negotiation
31627,Political
31627,Civilization
31627,Nautical
31627,Card Game
31627,Fantasy
31627,Abstract Strategy
126042,Economic
126042,Negotiation
126042,Political
126042,Card Game
126042,Fantasy
126042,Civilization
126042,Nautical
126042,Ancient
126042,Card Game
126042,Fantasy
25021,Card Game
25021,Fantasy
25021,Economic
25021,Territory Building
25021,Card Game
25021,Fantasy
25021,Economic
25021,Negotiation
25021,Political
21050,Card Game
21050,Fantasy
21050,Economic
21050,Negotiation
21050,Political
21050,Economic
21050,Territory Building
104006,Economic
104006,Negotiation
104006,Political
104006,Ancient
104006,Civilization
104006,Nautical
146508,Economic
146508,Negotiation
146508,Political
146508,Ancient
146508,Civilization
146508,Nautical
146508,Economic
146508,Territory Building
146508,Civilization
146508,Fantasy
171131,Economic
171131,Negotiation
171131,Political
171131,Abstract Strategy
171131,Economic
171131,Negotiation
171131,Political
171131,Economic
171131,Negotiation
171131,Political
171131,Abstract Strategy
171131,Medieval
171131,Economic
171131,Negotiation
171131,Political
