rank,id,name,description,bggrating,avgrating,numvoter,date
525,170561,Valeria: Card Kingdoms,"Use magic, money, and might to recruit citizens, defeat monsters, and conquer lands.",6.872,7.45,4321,2021-08-10
526,300531,Paleo,"Your Stone Age tribe must work together to eat, survive, and develop new tech.",6.868,7.87,2512,2021-08-10
527,163166,One Night Ultimate Werewolf: Daybreak,No ordinary game of Werewolf as now everyone has special roles. Werewolves beware!,6.868,7.37,5034,2021-08-10
528,121408,Trains,Buy the right mix of cards to build track to and lay stations in the biggest cities.,6.864,7.16,7816,2021-08-10
529,252328,Star Wars: X-Wing (Second Edition),"Form a squadron, plan its moves, take actions and engage the enemy in a dog fight.",6.863,8.28,1890,2021-08-10
530,24508,Taluva,Race to build temples and towers or tribal supremacy on an active volcanic island.,6.859,7.16,7945,2021-08-10
531,150997,Shadows of Brimstone: Swamps of Death,Co-op dungeon crawl the monster-ridden Old West mines and hot Jargono otherworld.,6.859,8.05,2240,2021-08-10
532,216734,Dice Throne: Season One,Roll dice to trigger skills and defeat your opponents.,6.857,7.63,4079,2021-08-10
533,58281,Summoner Wars,Summon units of your faction to fight and bring down the opposing Summoner.,6.856,7.25,6261,2021-08-10
534,130960,Triumph & Tragedy: European Balance of Power 1936-1945,"European struggle between communist, fascist, and capitalist systems during 1936-1945",6.856,8.17,1839,2021-08-10
535,293141,King of Tokyo: Dark Edition,Fight for dominance in this upgraded pulp edition of a dice-rolling monster battle.,6.855,7.85,2485,2021-08-10
536,10547,Betrayal at House on the Hill,Explore a haunted house as a team ... until one of you turns against the rest.,6.853,7.06,38198,2021-08-10
537,180511,Shakespeare,"Dazzle the London crowds as you write, cast and stage your play in one glorious week.",6.853,7.44,3910,2021-08-10
538,224710,Zombicide: Green Horde,"Fight infected orcs and goblins amidst hedges, flooded streets and heavy artillery.",6.851,7.79,3098,2021-08-10
539,37904,Formula D,Use custom dice to race in the cities and on Formula 1 courses.,6.851,7.02,17461,2021-08-10
540,135219,The Battle of Five Armies,"The Climactic Battle of the Hobbit, by the team that brought you War of the Ring!",6.850,7.87,2335,2021-08-10
541,175095,Dawn of the Zeds (Third Edition),Defend Farmingdale against the zombie horde.,6.850,8.21,1760,2021-08-10
542,50750,Belfort,"Compete with other architects to build the city using dwarves, elves and gnomes.",6.850,7.24,6022,2021-08-10
543,1353,Time's Up!,Get your teammates to guess real & fictional people while clues become more limited.,6.849,7.29,5136,2021-08-10
544,111799,Cuba Libre,Play as one of four factions vying for control of Cuba in card-driven COIN Vol:2.,6.849,7.70,2652,2021-08-10
545,121288,Dixit: Journey,"Give a perfect clue to cause some, but not all, to guess your dreamlike card.",6.848,7.41,4256,2021-08-10
546,198953,Pax Renaissance,Shrewd Renaissance bankers sway 15-16th Century European powers for personal gains.,6.847,8.03,1965,2021-08-10
547,270673,Silver & Gold,"Flip cards, complete islands and score points in this Flip 'n' Write.",6.846,7.33,4563,2021-08-10
548,116998,Thunderstone Advance: Towers of Ruin,Defeat an ancient evil protecting and feeding on a thunderstone.,6.845,7.36,4619,2021-08-10
549,262211,Cloudspire,"Use towers, minions, and heroes to help your faction claim an island in the sky.",6.843,8.28,1788,2021-08-10
550,70512,Luna,Impress the Moon Priestess by sending novices to Holy Isles surrounding the Temple.,6.841,7.32,4572,2021-08-10
551,193949,Star Trek: Ascendancy,"Romulans, Klingons, and Federation compete for galactic supremacy.",6.840,7.81,2734,2021-08-10
552,134726,Smash Up: Awesome Level 9000,"Now you can fight with killer plants, ghosts, steampunk, and bear cavalry!",6.840,7.25,6580,2021-08-10
553,3201,Lord of the Rings: The Confrontation,Hide your force and your intentions from the opponent as light faces off against dark,6.839,7.19,6601,2021-08-10
554,21763,Mr. Jack,The investigator tries to eliminate suspects while Jack tries to escape and hide.,6.838,7.01,15730,2021-08-10
555,126792,Myrmes,Your colony of ants lay pheromones to control the land while building your anthill!,6.836,7.28,5138,2021-08-10
556,65532,Defenders of the Realm,Fantasy heroes join forces and cards to defeat the ever advancing enemy hordes.,6.835,7.30,5236,2021-08-10
557,46,Medici,A brutal bidding war cloaked by light theme of Renaissance trading.,6.835,7.15,7281,2021-08-10
558,30380,Cuba,"In pre-revolution Cuba, produce and ship goods, and influence the Parliament to help.",6.835,7.14,7960,2021-08-10
559,173064,Leaving Earth,Space agencies launch realistic rockets to explore space and nearby planets.,6.834,7.80,2461,2021-08-10
560,256952,Zombie Kidz Evolution,Save the school from a cartoonish zombie horde. Unlock fun new content as you play!,6.833,7.84,2421,2021-08-10
561,220,High Society,"Show off by splurging on expensive indulgences, but avoid overspending and scandal.",6.833,7.07,9513,2021-08-10
562,5782,Coloretto,"Collect colorful chameleons, but be careful! Don't take too many types.",6.831,6.97,18362,2021-08-10
563,88,Torres,Build towers and populate them with your knights to make it big in the Middle Ages.,6.831,7.11,8875,2021-08-10
564,107529,Kingdom Builder,Use special placement rules and variable scoring goals to build the best kingdom.,6.828,6.96,20281,2021-08-10
565,160495,ZhanGuo,Carefully manage civil unrest while rebuilding China for the Emperor.,6.828,7.59,2913,2021-08-10
566,181521,Warhammer Quest: The Adventure Card Game,"Roll dice, pick skills, & smash vermin in a grim & dark narrative adventure.",6.827,7.36,5009,2021-08-10
567,155624,Specter Ops,Hide or hunt in this tactical game of cat and mouse!,6.827,7.23,5759,2021-08-10
568,13004,The Downfall of Pompeii,Trouble strikes at the foot of Vesuvius. Creeping lava! Who will survive unscathed?,6.827,7.13,7558,2021-08-10
569,113294,Escape: The Curse of the Temple,Run as fast as you can to return the cursed gems before the temple traps you forever.,6.826,6.99,15717,2021-08-10
570,203416,Exit: The Game – The Pharaoh's Tomb,Work out hieroglyphs and clues before this ancient pyramid becomes your tomb.,6.826,7.22,5565,2021-08-10
571,20963,Fury of Dracula (Second Edition),"The vampire hunters chase Dracula through Europe, while evading his deadly traps.",6.824,7.12,9027,2021-08-10
572,100423,Elder Sign,Roll dice to investigate the horrors of Arkham alone or as a group.,6.822,6.98,22640,2021-08-10
573,123540,Tokaido,"Travel the famed Tokaido road, visit hot springs, try new food, and paint landscapes.",6.821,6.98,21402,2021-08-10
574,3307,Wallenstein,"Plan your strategy to control central Europe, but don't forget to feed your armies!",6.820,7.47,3516,2021-08-10
575,171499,Cacao,Cultivate and trade the 'fruit of the gods' and lead your tribe to prosperity.,6.819,7.10,8718,2021-08-10
576,265402,In the Hall of the Mountain King,"Lead a band of trolls to excavate their mountain home, erecting statues for glory.",6.819,7.83,2467,2021-08-10
577,162007,Steampunk Rally,Race in wacky contraptions as a variety of history’s greatest inventors.,6.818,7.22,5951,2021-08-10
578,258036,Between Two Castles of Mad King Ludwig,Help your 2 neighboring players build the wackiest—but highest scoring—castles.,6.816,7.33,4341,2021-08-10
579,15364,Vegas Showdown,Bid on tiles to build the best casino in all of Las Vegas.,6.812,7.17,6116,2021-08-10
580,213893,Yamataï,"Sail through this beautiful archipelago, build vast palaces, and hire specialists.",6.811,7.22,5651,2021-08-10
581,146278,Tash-Kalar: Arena of Legends,Place units in 2D shapes to summon powerful beings and claim a rotating set of goals.,6.808,7.18,6254,2021-08-10
582,9823,Advanced Squad Leader: Starter Kit #1,"Ease yourself into Advanced Squad Leader, the wargame of all wargames.",6.808,7.83,2418,2021-08-10
583,154825,Arkwright,Amass wealth as a manufacturing entrepreneur — embrace the industrial revolution.,6.808,7.85,2055,2021-08-10
584,264055,Draftosaurus,A dinosaur park will always attract tourists – if you can place your species right.,6.808,7.17,6424,2021-08-10
585,72321,The Networks,"TV executives compete for stars, shows, and ads to ensure their network is #1.",6.807,7.21,5504,2021-08-10
586,699,HeroQuest,"Explore dungeons, complete quests in early boardgame facsimile of D&D.",6.807,7.14,11218,2021-08-10
587,193558,The Oracle of Delphi,Navigate the Aegean as you race to complete 12 quests to impress Zeus.,6.806,7.30,4362,2021-08-10
588,269511,Cooper Island,Develop your peninsula and sail as far as you can around the island.,6.805,7.70,2456,2021-08-10
589,143741,BANG! The Dice Game,A wild west elimination dice game with secret teams.,6.805,6.95,20405,2021-08-10
590,242574,Century: Eastern Wonders,Explore the high seas to establish new spice trading networks among the islands.,6.804,7.21,5877,2021-08-10
591,68425,Eminent Domain,"Survey planets, trade resources, and gain tech as your deck learns and grows.",6.804,7.03,9702,2021-08-10
592,168584,Love Letter: Batman,"Deduce your way to survival; either as the dark knight, or as a Gotham villain.",6.804,7.27,5120,2021-08-10
593,284435,Nova Luna,"Draft tiles to complete adjacency combos in this beautiful, abstract tableau builder.",6.803,7.43,3568,2021-08-10
594,586,Up Front,World War Two infantry card game based loosely on Squad Leader.,6.802,7.87,2169,2021-08-10
595,73761,K2,Compete to reach the top of an extremely dangerous Himalayan peak.,6.800,7.05,9335,2021-08-10
596,170624,Crusaders: Thy Will Be Done,"Convert the locals, build churches & banks and spread the influence of your order.",6.799,7.55,2847,2021-08-10
597,232219,Dragon Castle,Draft Mahjong-like tiles and place them carefully to create the best castle.,6.799,7.19,6032,2021-08-10
598,36235,The Duke,"Draw, place, move and flip tiles to capture the enemy Duke.",6.798,7.38,3835,2021-08-10
599,156336,Onirim (Second Edition),"Find the doors, Dreamwalker! Escape sleep's labyrinth or remain trapped forever.",6.798,7.08,8502,2021-08-10
600,432,6 nimmt!,"Choose sequential cards for rows simultaneously, but avoid adding the 6th card!",6.797,6.92,21735,2021-08-10
601,163839,Feudum,"Control guilds, spread influence and feud with other nobles in this medieval sandbox.",6.797,7.68,2923,2021-08-10
602,173442,Empires: Age of Discovery,"Colonize, trade, develop and battle to rule the Age of Imperialism.",6.797,7.88,1961,2021-08-10
603,2163,Space Hulk,,6.797,7.48,3668,2021-08-10
604,29603,D-Day at Omaha Beach,Command the US landing forces that storm Omaha Beach on D-Day.,6.795,8.27,1579,2021-08-10
605,2955,Mexica,Build the old Aztec city of Tenochtitlan with flowing canals and beautiful temples.,6.794,7.23,5178,2021-08-10
606,22345,Yspahan,Take dice from the tower to stock souks with goods and manipulate the camel train.,6.793,7.08,7796,2021-08-10
607,55600,Shipyard,Build ships that best match your objectives and send them on test runs for points.,6.793,7.35,3777,2021-08-10
608,153016,Telestrations: 12 Player Party Pack,Let the hilarity begin as you try your best to draw and interpret sketches.,6.793,7.76,2276,2021-08-10
609,179803,Arcadia Quest: Inferno,Arcadia was dragged down into Inferno. Save it and rescue angels from the Underlord!,6.793,7.98,2027,2021-08-10
610,31563,Middle-Earth Quest,A game of adventure and conflict set in the time of the creation of the Fellowship.,6.792,7.38,3977,2021-08-10
611,192457,Cry Havoc,Asymmetric factions engage in epic struggle for land and crystal on an alien planet.,6.792,7.19,6061,2021-08-10
612,167400,Ashes Reborn: Rise of the Phoenixborn,Only one Phoenixborn may stand. Absorb the Ashes of the fallen and rise to power.,6.791,7.30,5269,2021-08-10
613,226320,My Little Scythe,"Gather fruits and gems, encounter events, and start friendships (or pie fights!).",6.789,7.36,4146,2021-08-10
614,165401,Wir sind das Volk!,A tug-of-war struggle for the future of a divided Germany.,6.788,7.83,2064,2021-08-10
615,168435,Between Two Cities,Build a shared city with each of your neighbours. Can you make both thrive?,6.787,7.02,9747,2021-08-10
616,137988,Zombicide Season 2: Prison Outbreak,,6.786,7.39,4329,2021-08-10
617,7717,Carcassonne: The Castle,"A two-player, tile playing, castle building battle.",6.786,7.10,7656,2021-08-10
618,87890,Prêt-à-Porter,An economic strategy game set in the world of fashion.,6.785,7.40,3617,2021-08-10
619,69789,Ascension: Deckbuilding Game,Forge your deck with mighty heroes and constructs to claim the most honor.,6.785,7.03,12060,2021-08-10
620,143515,Coal Baron,Dig mines from your elevator shaft and bring up coal to complete contracts.,6.781,7.28,4383,2021-08-10
621,132018,Churchill,A political conflict of WW2 cooperation and competition.,6.781,7.66,2445,2021-08-10
622,266121,Unlock!: Heroic Adventures,,6.781,7.77,2155,2021-08-10
623,244228,Reef,"Grow your reef, and arrange it beautifully on your seafloor to score more points.",6.779,7.09,7286,2021-08-10
624,241724,Villagers,Draft cute medieval villagers to complete production chains & earn gold!,6.778,7.31,4718,2021-08-10
625,79127,Star Trek: Fleet Captains,Federation and Klingon fleets complete missions throughout the galaxy for dominance.,6.778,7.51,3177,2021-08-10
626,43528,World Without End,"A board game based on the novel by Ken Follett, a sequel to The Pillars of the Earth.",6.777,7.25,4693,2021-08-10
627,71721,Space Hulk: Death Angel – The Card Game,Clear a spacecraft of alien swarms in this card-based take on the classic Space Hulk.,6.776,7.00,12413,2021-08-10
628,201825,Ex Libris,Alphabetize your magical library while leveraging shifting location power-ups.,6.776,7.19,5320,2021-08-10
629,483,Diplomacy,Powers of post-Victorian Europe cooperate and clash to become master of the Continent,6.775,7.04,12274,2021-08-10
630,214880,City of the Big Shoulders,"Manage companies, invest in stocks and optimize delivery of goods in 1870's Chicago.",6.774,7.87,1967,2021-08-10
631,26997,1989: Dawn of Freedom,A game of political struggle as the Soviet Empire begins to show cracks.,6.774,7.80,2081,2021-08-10
632,227224,The Red Cathedral,Lead a construction team to build Saint Basil's Cathedral under the Tsar's reign.,6.774,7.98,1907,2021-08-10
633,156943,Saint Petersburg (Second Edition),Hire workers and influence aristocrats to build prestigious buildings!,6.774,7.50,2913,2021-08-10
634,2398,Cribbage,"Sum to 15, peg to 121 and score the crib in this classic and unique card game.",6.773,7.06,8532,2021-08-10
635,158889,Summoner Wars: Alliances Master Set,Face off against opposing summoners in a battle of force and wits.,6.772,8.10,1673,2021-08-10
636,220520,Caverna: Cave vs Cave,"Excavate, dig and mine your way to victory in this 2 player version of the original.",6.771,7.17,5363,2021-08-10
637,285192,Destinies,Characters explore a dark medieval-fantasy land as they race to fulfill their destiny,6.771,8.26,1904,2021-08-10
638,247367,"Air, Land & Sea",Submit orders on three fronts to outwit and outmatch your military opponent.,6.770,7.56,2646,2021-08-10
639,256382,Disney Villainous,"The villains assemble to face off, race to their goal, and rule the Disney realms.",6.770,7.06,11424,2021-08-10
640,47185,Warhammer: Invasion,Resource management is vital in this clash of several races in the Warhammer universe,6.769,7.22,5731,2021-08-10
641,200147,Kanagawa,Harmonize Japanese nature and culture elements to paint the most beautiful landscape.,6.768,7.09,7378,2021-08-10
642,242639,Treasure Island,Race to find Long John Silver's buried gold by drawing his clues on a treasure map!,6.767,7.31,4184,2021-08-10
643,183840,Oh My Goods!,Risk it all in the markets and work hard to construct chains of production buildings.,6.767,7.00,9918,2021-08-10
644,110277,Among the Stars,"In a time of galactic peace, draft rooms to construct the best space station.",6.766,7.08,6770,2021-08-10
645,233247,Civilization: A New Dawn,"Build Wonders, expand across the map and develop your Empire.",6.766,7.30,4671,2021-08-10
646,20100,Wits & Wagers,Bet on who’s likely to guess the closest to the correct answer in this trivia game.,6.765,6.93,13606,2021-08-10
647,270970,Century: A New World,Place workers to find and upgrade resources as the expedition reaches distant shores.,6.764,7.45,3224,2021-08-10
648,231581,AuZtralia,Explore and settle alternate-history 1930s Australia as Cthulhu awakes.,6.764,7.41,3390,2021-08-10
649,160499,King of New York,Monsters vie for fame or dominance over New York in this dice-rolling game.,6.764,6.95,14542,2021-08-10
650,169654,Deep Sea Adventure,"Dive deep seeking treasure, but lose it all if you don't return safely to the sub.",6.764,6.98,11444,2021-08-10
651,162286,Super Motherload,Collaboratively control a mining robot on Mars to be first to reach precious gems.,6.762,7.38,3437,2021-08-10
652,38996,Washington's War,Classic card-driven game. Free the Patriots or keep America in the British Empire.,6.762,7.63,2417,2021-08-10
653,170416,Vast: The Crystal Caverns,"Where a knight, dragon, cave, goblins, or thief, prepare for an asymmetric battle.",6.761,7.16,6009,2021-08-10
654,203417,Exit: The Game – The Secret Lab,Solve difficult clues to escape this sinister lab -lest you become the test subject.,6.761,7.12,5866,2021-08-10
655,21882,Blue Moon City,Rebuild the city and call dragons to maximize your contribution to the tower.,6.759,7.04,7824,2021-08-10
656,131287,Panamax,Manage your shipping company to cargo-carrying success.,6.759,7.33,3637,2021-08-10
657,249381,The Estates,"Bid and build a new urban development in the city, but will your investments pay off?",6.758,7.49,2764,2021-08-10
658,91872,Dungeons & Dragons: The Legend of Drizzt Board Game,The dark elf Drizzt Do'Urden lurks deep within a monster-infested labyrinth maze.,6.758,7.25,5708,2021-08-10
659,190082,Whitehall Mystery,Work together to chase a hidden killer through the foggy streets of Victorian London.,6.755,7.58,2585,2021-08-10
660,24800,Conflict of Heroes: Awakening the Bear! – Russia 1941-42,Fast-paced tactical game of the eastern front during Operation Barbarossa.,6.755,7.51,2996,2021-08-10
661,135779,A Fake Artist Goes to New York,"Everyone draws, but one of you doesn't know what they're drawing. Can you spot them?",6.753,7.17,5201,2021-08-10
662,41002,Vasco da Gama,Plan your day in a non-linear manner to launch ships but beware of changing tides!,6.752,7.24,4319,2021-08-10
663,244992,The Mind,Play your cards in ascending order without communicating. Timing is key!,6.751,6.89,20996,2021-08-10
664,1035,Squad Leader,Command squads of soldiers in tactical WWII combat.,6.750,7.52,3203,2021-08-10
665,2453,Blokus,Fit your tiles on a shared board with not enough space for everyone.,6.749,6.88,23453,2021-08-10
666,30957,Tribune: Primus Inter Pares,Fight for control over the ruling factions of Rome in this game of intrigue!,6.749,7.22,4454,2021-08-10
667,18098,Napoleon's Triumph,A tactical-level block wargame simulating the Battle of Austerlitz.,6.749,7.98,1719,2021-08-10
668,40628,Finca,Use your farmers to acquire produce then deliver it where those goods are needed.,6.747,7.06,6916,2021-08-10
669,148575,Marvel Dice Masters: Avengers vs. X-Men,"Captain America, Wolverine & more face off in dice battles.",6.747,7.15,5563,2021-08-10
670,177590,13 Days: The Cuban Missile Crisis,USA and USSR seek world domination - but too much aggression triggers nuclear war.,6.746,7.29,3891,2021-08-10
671,117915,Yedo,Clans scheme and plan to complete missions in the city of Yedo.,6.745,7.38,3519,2021-08-10
672,171273,FUSE,Hurry up! Disarm the bomb by collectively assembling the correct dice combinations.,6.745,7.05,7323,2021-08-10
673,163602,XCOM: The Board Game,Quickly work together to develop new tech and defend the world from invading aliens.,6.745,7.05,8065,2021-08-10
674,296912,Fort,Build the most awesome fort while making friends and eating pizza.,6.745,7.32,3854,2021-08-10
675,156566,Lords of Xidit,"Planning 6 moves ahead, recruit locals to help you defeat the invading monsters.",6.743,7.13,5436,2021-08-10
676,179275,One Deck Dungeon,Level up your hero and descend deeper into the monster dungeon.,6.743,7.05,8476,2021-08-10
677,12002,Jambo,African merchants go toe-to-toe to hawk their wares and earn the most gold.,6.743,7.01,8004,2021-08-10
678,169427,Middara: Unintentional Malum – Act 1,,6.742,8.87,1325,2021-08-10
679,181687,The Pursuit of Happiness,"Live your life to the fullest! Start relationships, careers, hobbies, and many more.",6.742,7.22,4308,2021-08-10
680,230244,Black Angel,Guide the Black Angel on an intergalactic voyage to find a new home for humanity.,6.741,7.38,3360,2021-08-10
681,224597,Warhammer Underworlds: Shadespire,"Grab your army, build your deck and use your 12 actions to achieve victory.",6.740,7.76,2592,2021-08-10
682,28181,Combat Commander: Pacific,Recreate the Pacific theater of World War II in this acclaimed card-driven wargame.,6.739,8.10,1513,2021-08-10
683,166384,Spyfall,Players ask each other probing questions to detect the Spy.,6.737,6.87,18650,2021-08-10
684,113997,Tajemnicze Domostwo,"Each night, a ghost gives a group of psychics visual clues to reveal who killed them.",6.736,7.16,4950,2021-08-10
685,244115,Shards of Infinity,Grow your Mastery and expand your armies. Unlock the potential hidden in your cards.,6.736,7.53,2794,2021-08-10
686,12962,Reef Encounter,Polyps grow into corals and fight for control of the reefs.,6.735,7.14,4990,2021-08-10
687,528,ZÈRTZ,Sacrifice pieces to your opponent in order to win this counterintuitive game.,6.734,7.28,3971,2021-08-10
688,255692,New Frontiers,Select an action for all that gives you the edge in building the best space empire.,6.732,7.58,2381,2021-08-10
689,191051,Outlive,"Place your apocalypse team to secure items, events, & resources then build a base.",6.732,7.36,3729,2021-08-10
690,277085,Love Letter,Help sneakily maneuver your love letter to the Princess—or to those closest to her.,6.731,7.63,2437,2021-08-10
691,145659,Scoville,"A plunge into a pepper planters plan, strategize your field to win the chili contest!",6.729,7.15,4888,2021-08-10
692,103886,Star Wars: The Card Game,Unique deckbuilding and tense battles with a bluffing component.,6.729,7.19,5410,2021-08-10
693,137269,Spyrium,A unique worker-placement game set in a steampunk world.,6.729,7.07,5857,2021-08-10
694,35570,Tinners' Trail,Will you make a fortune mining tin and copper in 19th Century Cornwall?,6.729,7.25,3843,2021-08-10
695,161417,Red7,Art is so subjective! Don't like the color? Change the rules so you can win!,6.728,6.91,13189,2021-08-10
696,214887,CO₂: Second Chance,Work together to create green energy sources to reduce the global carbon footprint.,6.728,7.64,2358,2021-08-10
697,204516,878 Vikings: Invasions of England,Scramble to defend your home as the English or gamble on invasion as the Vikings.,6.727,7.53,2680,2021-08-10
698,158435,Dogs of War,"Worker Placement meets Tug of War as you influence multiple battles, also hats.",6.726,7.51,2634,2021-08-10
699,12891,Friedrich,Europe is on a knife's edge as Prussia faces down an uneasy alliance.,6.723,7.55,2563,2021-08-10
700,194879,Not Alone,Shipwrecked Hunters try to escape Artemia while eluding the pursuit of the Creature.,6.723,7.01,8386,2021-08-10
701,197443,Fugitive,A quick card chase; will the fugitive escape or will the detective crack the case?,6.723,7.22,4158,2021-08-10
702,45,Perudo,"Roll dice, take a chance, and bluff your way to victory in this game of luck!",6.722,6.90,12913,2021-08-10
703,94,Union Pacific,,6.722,7.21,4194,2021-08-10
704,139898,Brew Crafters,Craft beers in the hopes of being the best brewery in the city.,6.722,7.44,2863,2021-08-10
705,51,Ricochet Robots,Be the first to solve a spatial puzzle using hard-controlled robots to win!,6.720,7.01,8144,2021-08-10
706,12902,Carcassonne: The City,Build the historical city by laying tiles and building walls and towers.,6.720,7.21,4249,2021-08-10
707,119788,Hyperborea,"Compete to collect the riches of a long-lost, magical society.",6.719,7.21,4470,2021-08-10
708,41066,Virgin Queen,Multiplayer European conflict during the CounterReformation of the late 16thC.,6.719,8.05,1579,2021-08-10
709,82421,Summoner Wars: Phoenix Elves vs Tundra Orcs,Fight with ferocious accuracy as the Elves or icy brutality as the Tundra Orcs.,6.718,7.52,2576,2021-08-10
710,132028,Conflict of Heroes: Awakening the Bear! – Operation Barbarossa 1941 (Second Edition),"Fight like a hero, wake sleeping bears, roll dice, fast and fluid.",6.717,7.97,1740,2021-08-10
711,251678,Railroad Ink: Blazing Red Edition,Build a network of rails and roads throughout a fiery landscape.,6.715,7.19,4447,2021-08-10
712,198830,"Heroes of Land, Air & Sea",An epic battle for dominance across the mythical land of Aughmoore.,6.714,7.69,2318,2021-08-10
713,155362,Ca$h 'n Guns (Second Edition),A band of gangsters splits its loot — but guns speak louder than money.,6.713,6.89,12998,2021-08-10
714,245961,Fleet: The Dice Game,Deploy your fleet of fishing boats while developing your bustling harbor.,6.713,7.75,1906,2021-08-10
715,218333,Rhino Hero: Super Battle,Build sprawling cardboard towers and see how heroes climb up to then duel clumsily.,6.712,7.27,3753,2021-08-10
716,156689,Legendary: A Marvel Deck Building Game – Villains,Dodge and demolish high-minded heroes to establish yourself as the leading villain.,6.711,7.59,2571,2021-08-10
717,53953,Thunderstone,Adventurers gain power slaying foes. Can you defeat the guardian of the Thunderstone?,6.708,6.94,10185,2021-08-10
718,290236,Canvas,Artistically layer your paintings to create a masterpiece and win the Best in Show!,6.708,7.65,2387,2021-08-10
719,271518,Disney Villainous: Wicked to the Core,"Evil has never looked so wicked with poison, voodoo, and titans galore.",6.707,7.67,2455,2021-08-10
720,175117,Celestia,Would you trust your captain? Or would you give up the journey and take what you can?,6.707,6.97,8783,2021-08-10
721,26566,Homesteaders,Homesteaders in the old west build a frontier settlement up into a town.,6.702,7.23,3606,2021-08-10
722,82420,Summoner Wars: Guild Dwarves vs Cave Goblins,Fight with siege warfare as the Dwarves or overwhelming swarm tactics as the Goblins.,6.702,7.57,2343,2021-08-10
723,1041,San Marco,"Control Venice! You divide the cards, but another player chooses who gets which set.",6.702,7.17,4276,2021-08-10
724,154458,Akrotiri,"Explore the Aegean Sea, connect trade routes, and discover temples by placing tiles.",6.701,7.24,3792,2021-08-10
725,29368,Last Night on Earth: The Zombie Game,A handful of survivors aim to survive the night against the zombie horde.,6.701,6.94,13634,2021-08-10
726,217780,Gentes,Develop your civilization through balancing between time and wealth consumption.,6.701,7.47,2545,2021-08-10
727,8125,Santiago,"Auction, build, and bribe your way into a flourishing irrigation network.",6.700,7.11,4875,2021-08-10
728,252153,Tang Garden,Design and landscape a garden with majestic vistas gazed upon by noblemen.,6.700,7.59,2471,2021-08-10
729,234671,Pandemic: Rising Tide,Build dikes and pumps to protect the Netherlands from flooding by the North Sea.,6.699,7.61,2224,2021-08-10
730,122298,Morels,"Walk through the woods, collect mushrooms, and cook them up for tasty points.",6.699,7.00,7533,2021-08-10
731,280480,Crystal Palace,Show off your wild inventions at the first World's Fair in London 1851.,6.699,7.63,2184,2021-08-10
732,1345,Genoa,Negotiate with your fellow traders to deliver goods and letters through Genoa.,6.698,7.07,5932,2021-08-10
733,15512,Diamant,How deep into a dangerous mine dare you explore before leaving with your riches?,6.697,6.82,17569,2021-08-10
734,2181,Bridge,Bid to communicate and to set trump. Then take tricks to fulfill your bid.,6.697,7.46,2917,2021-08-10
735,129948,The Palaces of Carrara,"Buy marble to erect beautiful buildings, but score them quickly before the game ends!",6.697,7.17,4165,2021-08-10
736,26990,Container,Players drive prices as they produce and ship goods in this economic simulation.,6.697,7.15,4429,2021-08-10
737,11825,Empire of the Sun,Strategic-level conflict simulation covering the Pacific War between US and Japan.,6.696,8.20,1502,2021-08-10
738,179172,Unfair,"Create thematic fun parks, hire staff and attract guests galore!",6.696,7.35,3788,2021-08-10
739,256570,Crown of Emara,Win the crown and succeed the King of Emara!,6.696,7.47,2538,2021-08-10
740,177678,Signorie,"Use your ever-growing family to influence civil, religious, and military power.",6.695,7.42,2734,2021-08-10
741,281442,Trismegistus: The Ultimate Formula,Discover the formula to the Philosopher's Stone as you become the greatest alchemist!,6.695,7.67,2265,2021-08-10
742,151004,Smash Up: Science Fiction Double Feature,Standalone set themed around classic Mad Science.,6.695,7.29,3741,2021-08-10
743,91514,Rhino Hero,Build a giant tower and try to make your opponent be the one to let it collapse.,6.695,6.95,8760,2021-08-10
744,9440,Maharaja: The Game of Palace Building in India,Architects travel through India to build magnificent palaces to please the marahaja.,6.694,7.12,4899,2021-08-10
745,223953,Kitchen Rush,"Juggle orders, prepare dishes, and stock the pantry to satisfy your hungry customers.",6.694,7.37,2986,2021-08-10
746,65244,Forbidden Island,The island is sinking! Will the brave adventurers save the treasures in time?,6.694,6.79,43228,2021-08-10
747,239942,Black Rose Wars,Cast spells and combat other mages to become ruler of a mysterious lodge.,6.694,8.11,1829,2021-08-10
748,202670,Ticket to Ride: Rails & Sails,"By land and by sea, connect valuable cities across the Great Lakes or even the world.",6.694,7.42,3177,2021-08-10
749,16747,Tumblin-Dice,Flick and push dice down wooden platforms and knock out the competition to win!,6.693,7.19,3958,2021-08-10
750,37380,Roll Through the Ages: The Bronze Age,Roll and Civilize your way to victory with an ancient Mediterranean empire.,6.692,6.87,11585,2021-08-10
751,148319,Tragedy Looper,"Players live, die, and repeat in order to outwit and defeat the evil Mastermind.",6.692,7.21,4078,2021-08-10
752,41,Can't Stop,Roll dice to claim three columns. Risk everything earned this turn with each roll.,6.691,6.85,13817,2021-08-10
753,65901,Age of Industry,,6.691,7.37,2879,2021-08-10
754,248490,Atlantis Rising (Second Edition),Atlantis is sinking. Can you work together to build your escape before it's lost?,6.691,7.79,1883,2021-08-10
755,176165,Dale of Merchants,"Learn new techniques, trade goods, and manage your stock to build the master stall!",6.690,7.21,4100,2021-08-10
756,98229,Pictomania,,6.690,7.28,3330,2021-08-10
757,195137,Catacombs (Third Edition),Flick down the door and slay monsters in this dexterity-based dungeon delve!,6.690,7.56,2375,2021-08-10
758,303057,Pan Am,Triumph in the golden age of air travel.,6.690,7.70,2060,2021-08-10
