rank,id,name,description,bggrating,avgrating,numvoter,date
928,1608,Ambush!,Lead a squad through a series of WWII tactical engagements straight outta Hollywood!,6.569,7.45,2204,2021-08-10
929,164265,Witness,Whisper your clues to fellow agents and solve 64 unique cases.,6.569,7.29,2443,2021-08-10
930,134352,Two Rooms and a Boom,Help the president or hunt him down in this social deduction game for 6-30 players.,6.569,7.00,4424,2021-08-10
931,229265,Wendake,"Trade, trounce, trap, and tend your way to a balanced tribe.",6.569,7.55,1834,2021-08-10
932,285984,Last Bastion,Work together and defend your last outpost against invading hordes of monsters.,6.568,7.64,1780,2021-08-10
933,1634,Warhammer Quest,Dungeon adventures in the Warhammer World.,6.567,7.47,2395,2021-08-10
934,94246,1812: The Invasion of Canada,Operational level wargame well-suited for team play in the War of 1812.,6.566,7.34,2237,2021-08-10
935,5737,Domaine,Good fences make good neighbors. Stealing territory with more knights helps too.,6.565,6.99,4295,2021-08-10
936,68264,No Retreat! The Russian Front,Choose a side and lead it to victory in this epic struggle!!,6.564,7.78,1513,2021-08-10
937,183571,Deep Space D-6,It was a trap! Roll your crew dice to survive the onslaught of an alien armada.,6.563,7.28,2773,2021-08-10
938,182694,Watson & Holmes,Be first to help Holmes solve the crime by following clues and investigating leads.,6.563,7.34,2328,2021-08-10
939,156091,Sons of Anarchy: Men of Mayhem,Exploit businesses and throw down with rival gangs to earn the most cash.,6.563,7.29,2631,2021-08-10
940,207336,Honshū,Lords and ladies from feudal Japan compete on who can create the greatest land.,6.563,6.97,4429,2021-08-10
941,8045,Princes of the Renaissance,Choose the most profitable side in a series of conflicts to further your own glory!,6.561,7.35,2187,2021-08-10
942,223750,Hardback,Combine literary genres to assemble a masterpiece collection of letters.,6.561,7.27,2522,2021-08-10
943,184151,Legend of the Five Rings: The Card Game,Build two decks. Fight on battles and at Court. Take your Clan to Honor and Glory.,6.560,7.46,2309,2021-08-10
944,137649,Level 7 [Omega Protocol],Coordinate tactics with your squadmates in order to neutralize an alien threat.,6.559,7.46,2005,2021-08-10
945,316377,7 Wonders (Second Edition),Draft cards to develop your ancient civilization and build its Wonder of the World.,6.559,8.16,1256,2021-08-10
946,175324,Fog of Love,Two lovers try to navigate a relationship with different personalities.,6.557,6.90,5757,2021-08-10
947,218074,Detective: City of Angels,Do whatever it takes to close the case in a dark and violent 1940's Los Angeles.,6.557,7.99,1266,2021-08-10
948,17329,Animal Upon Animal,Try not to topple the animals as they climb on top of each other!,6.556,6.81,7326,2021-08-10
949,216092,Unlock!: Escape Adventures – Squeek & Sausage,Overcome the plot of Dr. Noside in this Escape-Room inspired card game.,6.555,7.18,2705,2021-08-10
950,145639,Coconuts,"Launch soft, rubber coconuts into cups and use them to build your tower first!",6.554,7.04,3830,2021-08-10
951,264052,Circadians: First Light,Open negotiations and build coalitions with new species in space.,6.554,7.74,1524,2021-08-10
952,176544,Automania,Make cars to suit your customers' needs and pick the right market to sell them to!,6.553,7.32,2218,2021-08-10
953,95103,Fortune and Glory: The Cliffhanger Game,Feel like Indiana Jones on the hunt for ancient artifacts around the world.,6.553,7.11,3581,2021-08-10
954,124,Primordial Soup,Increase your amoeba population and evolve powers to help it thrive.,6.551,6.94,4571,2021-08-10
955,146312,Ghost Fightin' Treasure Hunters,Team up to swipe all the gems from an eerie mansion before a haunting takes over.,6.551,7.16,3038,2021-08-10
956,16992,Tsuro,Play tiles and move around the board.  Try to outlast your opponents.,6.551,6.67,23940,2021-08-10
957,27364,Caylus Magna Carta,"Build and use workers along an expanding road, but beware the fun crushing provost.",6.551,6.91,4861,2021-08-10
958,24068,Shadow Hunters,"Werewolves, Vampires, and Humans deduce who's who while obtaining items and goals.",6.550,6.82,8054,2021-08-10
959,221318,Whistle Stop,Plot the best routes for your train to pick up and deliver goods cross-country.,6.550,7.13,3022,2021-08-10
960,327,Loopin' Louie,Protect your poultry from Louie's aeronautic acrobatics!,6.550,6.77,8539,2021-08-10
961,183880,Risk: Star Wars Edition,The Empire and the Rebellion go head to head in three theaters of war...not Risk!,6.549,7.03,3785,2021-08-10
962,187377,Vikings Gone Wild,Generate gold and beer and attack your neigbors to obtain the gods' favors.,6.549,7.20,3183,2021-08-10
963,44163,Power Grid: Factory Manager,Try to maximize profit of a factory in Power Grid world.,6.548,6.85,5840,2021-08-10
964,17396,Manoeuvre,Tactical napoleonic battles with chess-size 64 spaces game board.,6.548,7.29,2356,2021-08-10
965,833,For the People,Take the role of Abraham Lincoln or Jefferson Davis during the American Civil War.,6.548,7.75,1533,2021-08-10
966,121410,Steam Park,"Ready, set, roll! Create the best robot amusement park!",6.548,6.87,5588,2021-08-10
967,191300,Archaeology: The New Expedition,Collect and sell treasure for profit! But get too greedy and you might lose it all...,6.546,7.16,2968,2021-08-10
968,175199,Mottainai,Cleverly use multi-purpose cards to create Works with special powers. Waste nothing!,6.546,7.03,3585,2021-08-10
969,161882,Irish Gauge,Compete and cooperate to build railways across Ireland!,6.545,7.38,2023,2021-08-10
970,242684,Reavers of Midgard,"Recruit Reavers, battle, and raid to become the most glorious viking clan.",6.544,7.49,1894,2021-08-10
971,37836,"Julius Caesar: Caesar, Pompey, and the Roman Civil War",Bring the drama of the Roman Civil War to life in this card driven block game.,6.544,7.78,1449,2021-08-10
972,34084,Witch's Brew,Collect ingredients and make valuable potions by outguessing your opponents.,6.543,7.01,3678,2021-08-10
973,37628,Haggis,Climbing card-game ideal for two or three players.,6.543,6.97,3971,2021-08-10
974,247236,Duelosaur Island,Compete against your rival to build the most exciting dinosaur park in the world.,6.543,7.19,2756,2021-08-10
975,104020,Vanuatu,,6.542,7.21,2567,2021-08-10
976,151007,Pathfinder Adventure Card Game: Skull & Shackles – Base Set,Level up your party in this card-and-dice fantasy campaign set on the high seas.,6.541,7.31,2461,2021-08-10
977,681,Quarto,You choose the piece your opponent plays next. 4-in-a-row of the same attribute wins!,6.541,6.86,6076,2021-08-10
978,208024,The Reckoners,Operatives work together to assassinate supervillains in a post-apocalyptic world.,6.539,7.77,1519,2021-08-10
979,91080,Andean Abyss,Counter-insurgency in the cities and jungles of drug economy 1990s Colombia.,6.539,7.61,1698,2021-08-10
980,195162,Plague Inc.: The Board Game,A board game version of the popular virus game.,6.538,7.49,2683,2021-08-10
981,272739,Clinic: Deluxe Edition,Treat patients for profit to build the city's most lucrative clinic.,6.538,7.82,1379,2021-08-10
982,163642,Chimera Station,Genetically modify your alien workers as you build a shared space station.,6.537,7.31,2235,2021-08-10
983,290359,Undaunted: North Africa,Lead a team of desert commandos in a WWII multi-scenario deck builder with vehicles.,6.537,7.97,1279,2021-08-10
984,230933,Merlin,"Travel round the table, time your powers right, and transcend the roll-and-go facade!",6.536,7.12,3002,2021-08-10
985,176371,Explorers of the North Sea,"Sail unexplored islands to herd animals, plunder settlements, and claim lands.",6.534,7.33,2230,2021-08-10
986,300877,New York Zoo,"Build animal enclosures, introduce new animals to your zoo, and breed offspring.",6.534,7.28,2403,2021-08-10
987,154246,La Isla,Deploy explorers into a wondrous island where many extinct species survive.,6.534,6.88,5049,2021-08-10
988,140933,Blueprints,"Follow the Blueprints, or your own architectural style with a mix of materials!",6.533,6.82,6238,2021-08-10
989,8989,Hansa,"Buy & sell colorful goods in Hanseatic cities. Ship location is key, so move wisely!",6.532,6.88,4967,2021-08-10
990,234669,Legacy of Dragonholt,Choose your path as you progress through a fantasy RPG style adventure.,6.532,7.28,2437,2021-08-10
991,181796,The Prodigals Club,"Lose votes, your friends and your possessions in this game of reverse expectations!",6.532,7.31,2184,2021-08-10
992,278,Catan Card Game,"Build buildings with special abilities, hire helpers, and more in this 2-player game.",6.532,6.71,13160,2021-08-10
993,50768,Ninjato,"Ninjas raid noble homes to claim tools, techniques and allies. Who will dare to win?",6.531,7.19,2630,2021-08-10
994,121297,Fleet,"Acquire licenses, launch boats, and fish the great briny blue.",6.530,6.89,4747,2021-08-10
995,329465,Red Rising,Craft a hand of powerful characters from the dystopian world of Red Rising,6.530,7.34,2367,2021-08-10
996,204836,Escape Room: The Game,Solve puzzles and use the keys to stop the chrono decoder to escape the room!,6.528,7.04,3418,2021-08-10
997,141423,Dead Men Tell No Tales,Work together as pirates to defeat enemies and loot the burning ship.,6.527,7.13,3091,2021-08-10
998,244049,Forum Trajanum,Find out who's hiding in your Roman settlement and put them to work for your neighbor,6.527,7.32,2172,2021-08-10
999,284818,Caylus 1303,Quarrel over action spaces (and player powers) to be the finest builder in the land!,6.525,7.60,1579,2021-08-10
1000,257518,Claustrophobia 1643,Zealots and vagabonds brave unspeakable horrors in the tunnels below New Jerusalem.,6.525,8.08,1213,2021-08-10
